anio,id_ent,id_act,unidades_eco,produccion,personal,activos
2003,7,336370,3,1.087,10,0.576
2003,7,336610,2,,,
2003,7,336999,1,,,
2003,7,434221,46,104.671,648,27.995
2003,7,434222,18,515.42,195,53.212
2003,7,434229,3,1.786,22,1.396
2003,7,434311,18,2.071,52,1.794
2003,7,435220,16,3.553,45,2.934
2003,7,435419,16,8.442,115,5.899
2003,7,468211,841,252.02,2519,126.505
2003,7,468212,54,11.045,136,9.705
2003,7,468213,107,110.5,591,53.528
2003,7,811122,42,2.894,73,1.778
2003,7,811129,25,4.405,51,1.102
2003,7,811312,130,36.944,341,25.827
2003,8,314110,1,,,
2003,8,321920,39,78.319,381,21.902
2003,8,322210,10,,,
2003,8,323119,339,359.077,1925,221.771
2003,8,325120,1,,,
2003,8,325211,1,,,
2003,8,325212,1,,,
2003,8,325510,4,,,
2003,8,326110,4,51.156,230,15.828
2003,8,326120,6,558.882,707,12.389
2003,8,326140,11,283.822,509,51.873
2003,8,326150,2,,,
2003,8,326160,3,111.916,158,62.839
2003,8,326192,7,695.61,1898,183.833
2003,8,326193,3,,,
2003,8,326194,13,621.318,2896,125.803
2003,8,326198,3,13.003,51,8.217
2003,8,326199,6,176.332,1132,40.177
2003,8,326220,3,97.02,935,11.943
2003,8,326290,7,207.746,799,31.569
2003,8,327111,15,,,
2003,8,327112,2,,,
2003,8,327121,249,72.013,694,26.554
2003,8,327122,6,2380.958,2117,2456.815
2003,8,327991,48,14.933,134,6.135
2003,8,327999,10,300.623,653,59.495
2003,8,331210,3,,,
2003,8,331220,1,,,
2003,8,331310,3,,,
2003,8,331419,1,,,
2003,8,331510,16,175.675,421,90.063
2003,8,331520,13,364.299,329,27.039
2003,8,332110,13,208.265,360,78.255
2003,8,332211,6,9.814,42,4.211
2003,8,332420,6,,,
2003,8,332430,2,,,
2003,8,332510,2,,,
2003,8,332610,2,,,
2003,8,332710,148,1425.858,2946,762.752
2003,8,332720,23,12.622,82,18.448
2003,8,332810,4,72.944,355,58.262
2003,8,332910,3,401.719,351,87.125
2003,8,332999,39,138.231,603,71.304
2003,8,333111,17,405.115,1556,190.905
2003,8,333120,1,,,
2003,8,333130,4,,,
2003,8,333241,5,2.73,17,2.211
2003,8,333242,5,9.098,78,7.402
2003,8,333243,5,1.577,17,1.275
2003,8,333249,3,15.267,79,4.39
2003,8,333319,2,,,
2003,8,333411,33,287.826,1154,37.235
2003,8,333412,3,39.369,208,1.631
2003,8,333510,14,55.984,251,36.555
2003,8,333610,1,,,
2003,8,333910,4,221.863,293,58.212
2003,8,333920,4,11.394,47,16.78
2003,8,333991,2,,,
2003,8,333999,13,,,
2003,8,334110,16,3748.064,13942,567.504
